Word,alternate-spellings,transliteration,Gloss,Strongs
"ἀδικία, -ας, ἡ",,adikia,unrighteousness,93
"ἄδικος, -ον",,adikos,"unjust, unrighteous",94
ἀδίκως,,adikōs,unjustly,95
"Ἀδμίν, ὁ",,Admin,"Admin, Aram",
"ἀδόκιμος, -ον",,adokimos,"not passing the test, rejected, unreputable (metaphorical)",96
"ἄδολος, -ον",,adolos,"pure, genuine, unadulterated",97
"Ἀδραμυττηνός, -ή, -όν",,Adramuttēnos,of Adramyttium,98
"Ἀδρίας, -ου, ὁ",,Adrias,Adriatic Sea,99
"ἁδρότης, -ητος, ἡ",,adrotēs,"abundance, lavishness",100
ἀδυνατέω,,adunateō,"be unable, be impossible",101
"ἀδύνατος, -ον",,adunatos,"impossible, unable, powerless, incapable",102
ᾄδω,,adō,sing,103
ἀεί,,aei,"always, ever, unceasingly",104
"ἀετός, -οῦ, ὁ",,aetos,"eagle, vulture, bird of prey",105
"ἄζυμος, -ον",,azumos,"unleavened, paschal feast, uncorrupted",106
"Ἀζώρ, ὁ",,Azōr,Azor,107
"Ἄζωτος, -ου, ἡ",,Azōtos,"Azotus, Ashdod",108
"ἀήρ, -ος, ὁ",,aēr,air,109
αθά,,atha,"come (Aramaic), Maranatha meaning 'Our Lord has come'",3134
"ἀθανασία, -ας, ἡ",,athanasia,immortality,110
"ἀθέμιτος, -ον",,athemitos,"unlawful, forbidden, disgusting, illegal",111
"ἄθεος, -ον",,atheos,"without God, godless",112
"ἄθεσμος, -ον",,athesmos,"lawless, unprincipled",113
ἀθετέω,,atheteō,"reject, annul",114
"ἀθέτησις, -εως, ἡ",,athetēsis,"setting aside, annulment, nullification, abrogation",115
"Ἀθῆναι, -ῶν, ἡ",,Athēnai,Athens,116
"Ἀθηναῖος, -α, -ον",,Athēnaios,Athenian,117
ἀθλέω,,athleō,compete,118
"ἄθλησις, -εως, ἡ",,athlēsis,"contest, conflict",119
ἀθροίζω,,athroizō,"collect, gather together",
ἀθυμέω,,athumeō,"be discouraged, disheartened, lose heart",120
"ἀθῷος, -ον",,athōos,"innocent, guiltless",121
"αἴγειος, -α, -ον",,aigeios,of a goat,122
"Αἰγεύς, -ος, ὁ",,Aigeus,Aegeus,
"αἰγιαλός, -οῦ, ὁ",,aigialos,"seashore, beach, sea-coast",123
"Αἰγύπτιος, -α, -ον",,Aiguptios,Egyptian,124
"Αἴγυπτος, -ου, ἡ",Ἔγυπτος,Aiguptos,Egypt,125
"ἀΐδιος, -ον",,aidios,"eternal, everlasting",126
"αἰδώς, -οῦς, ἡ",,aidōs,"modesty, shame",127
"Αἰθίοψ, -οπος, ὁ",,Aithiops,Ethiopian,128
"αἷμα, -τος, τό",,aima,blood,129
"αἱματεκχυσία, -ας, ἡ",,aimatekchusia,shedding of blood,130
αἱμορροέω,,aimorroeō,"bleed, suffer with hemorrhage, experience loss of blood",131
"Αἰνέας, -ου, ὁ",,Aineas,Aeneas,132
"αἴνεσις, -εως, ἡ",,ainesis,praise,133
αἰνέω,,aineō,praise,134
"αἴνιγμα, -τος, τό",,ainigma,"riddle, enigma",135
"αἶνος, -ου, ὁ",,ainos,praise,136
"Αἰνών, ἡ",,Ainōn,Aenon,137
"αἴξ, -ος, ὁ",,aix,goat,
"αἵρεσις, -εως, ἡ",,airesis,"choice, faction, party, sect, self-chosen opinion",139
αἱρετίζω,,airetizō,choose,140
"αἱρετικός, -ή, -όν",,airetikos,"factious, causing division",141
αἱρέω,,aireō,"choose, prefer",138
αἴρω,,airō,"take up, take away, raise, lift up",142
αἰσθάνομαι,,aisthanomai,"notice, perceive, understand",143
"αἴσθησις, -εως, ἡ",,aisthēsis,"perception, discernment",144
"αἰσθητήριον, -ου, τό",,aisthētērion,"faculty of perception, sense, perceptive faculty",145
αἰσχροκερδής,,aischrokerdēs,"greedy of base gain, avaricious, greedy",146
αἰσχροκερδῶς,,aischrokerdōs,"in fondness for dishonest gain, greedily",147
"αἰσχρολογία, -ας, ἡ",,aischrologia,"obscene speech, dirty talk, filthy speech",148
"αἰσχρός, -ά, -όν",,aischros,"shameful, base, disgraceful","150, 149"
"αἰσχρότης, -ητος, ἡ",,aischrotēs,"shamefulness, obscenity, filthiness, indecency, baseness",151
"αἰσχύνη, -ης, ἡ",,aischunē,shame,152
αἰσχύνομαι,,aischunomai,"dishonor, put to shame, fell ashamed, am ashamed, am put to shame",153
αἰτέω,,aiteō,"ask, request, beg, petition",154
"αἴτημα, -τος, τό",,aitēma,"request, petition",155
"αἰτία, -ας, ἡ",,aitia,"cause, reason, accusation, charge",156
"αἴτιον, -ου, τό",,aition,"cause, crime",158
"αἴτιος, -α, -ον",,aitios,"causative of, responsible for, cause of, originator of",159
"αἰτίωμα, -τος, τό",,aitiōma,"charge, complaint, accusation",157
"αἰφνίδιος, -ον",,aiphnidios,"sudden, unexpected",160
"αἰχμαλωσία, -ας, ἡ",,aichmalōsia,"captivity, host of captives",161
αἰχμαλωτεύω,,aichmalōteuō,"capture, lead captive, take captive",162
αἰχμαλωτίζω,,aichmalōtizō,"take or lead captive, take captive, subdue, ensnare",163
"αἰχμάλωτος, -ου, ὁ",,aichmalōtos,"captive, prisoner",164
"αἰών, -ῶνος, ὁ",,aiōn,"age, eternity, cycle of time",165
"αἰώνιος, -ον",,aiōnios,"eternal, unending",166
"ἀκαθαρσία, -ας, ἡ",,akatharsia,"uncleanness, impurity",167
"ἀκάθαρτος, -ον",,akathartos,"unclean, impure","168, 169"
ἀκαιρέομαι,,akaireomai,"have no opportunity, am without a suitable opportunity",170
ἀκαίρως,,akairōs,"untimely, unseasonably",171
"ἄκακος, -ον",,akakos,"guileless, innocent, simple",172
"ἄκανθα, -ης, ἡ",,akantha,"thorn, thorn bush, prickly plant",173
